step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
48,11.431842501291502,2.273187585854311e+31,33.762110668650124,1.82047741986489e-37,11.263553213229905,8.994784785805735e+131,1.8545745363409032e+38,0.999594094730557,1.05811623246493,True,COHERENT CORE,True
49,12.02708334768512,2.3915494424371434e+31,35.520058902119224,1.851540968345496e-37,11.455747814209365,8.994784785805735e+131,1.918405237009652e+38,0.9976132057226023,1.0801603206412826,True,COHERENT CORE,True
50,12.65331759388943,2.5160742435921314e+31,37.36954116383337,1.8831345668194045e-37,11.651221910029076,8.99478478580573e+131,1.984432861160323e+38,0.995636678594394,1.1022044088176353,True,COHERENT CORE,True
51,13.312159025043083,2.647082885652742e+31,39.315323508996755,1.9152672597457694e-37,11.850031460046647,8.99478478580573e+131,2.0527330224511555e+38,0.9936645037411562,1.124248496993988,True,COHERENT CORE,True
52,14.005305453932204,2.784912973598057e+31,41.36242015497402,1.947948245913038e-37,12.052233378477023,8.994784785805729e+131,2.12338393700941e+38,0.9916966715792628,1.1462925851703407,True,COHERENT CORE,True
53,14.734543096198358,2.929919691049755e+31,43.51610640276425,1.9811868810723372e-37,12.25788555068561,8.994784785805732e+131,2.1964665130030904e+38,0.9897331725461903,1.1683366733466936,True,COHERENT CORE,True
54,15.501751173357704,3.0824767155686595e+31,45.781932231278745,2.0149926806157877e-37,12.467046849759397,8.994784785805735e+131,2.272064443295529e+38,0.9877739971004718,1.1903807615230462,True,COHERENT CORE,True
55,16.308906755493325,3.2429771816095814e+31,48.165736599454995,2.049375322300527e-37,12.679777153360869,8.994784785805737e+131,2.350264301288967e+38,0.9858191357216506,1.2124248496993988,True,COHERENT CORE,True
56,17.15808985610006,3.411834693615928e+31,50.673662493062515,2.0843446490192103e-37,12.89613736086948,8.994784785805735e+131,2.4311556400668692e+38,0.9838685789102338,1.2344689378757516,True,COHERENT CORE,True
57,18.051488792211092,3.589484391864799e+31,53.3121727549759,2.1199106716177794e-37,13.116189410815617,8.994784785805734e+131,2.5148310949485185e+38,0.9819223171876462,1.2565130260521042,True,COHERENT CORE,True
58,18.991405823619356,3.776384073809238e+31,56.0880667397093,2.1560835717613255e-37,13.339996298612073,8.994784785805732e+131,2.601386489573334e+38,0.9799803410961844,1.278557114228457,True,COHERENT CORE,True
59,19.980263085725507,3.97301537380726e+31,59.00849783513023,2.1928737048488406e-37,13.567622094588048,8.994784785805732e+131,2.690920945636393e+38,0.9780426411989704,1.3006012024048097,True,COHERENT CORE,True
60,21.020608831301583,4.179885004277826e+31,62.080991896505786,2.2302916029777136e-37,13.799131962330904,8.994784785805729e+131,2.7835369964008305e+38,0.9761092080799062,1.3226452905811623,True,COHERENT CORE,True
61,22.115123997254898,4.397526061482145e+31,65.31346664038517,2.2683479779588042e-37,14.034592177340853,8.994784785805734e+131,2.8793407041171064e+38,0.9741800323436279,1.3446893787575152,True,COHERENT CORE,True
